Samples	SBS1	SBS2	SBS4	SBS5	SBS6	SBS13
TCGA-86-7713-01A-11D-2063-08	7	0	104	49	0	0
TCGA-86-7954-01A-11D-2184-08	20	15	96	73	0	16
TCGA-86-7955-01A-11D-2184-08	17	0	182	129	0	0
TCGA-86-8055-01A-11D-2238-08	10	0	0	34	0	0
TCGA-86-8056-01A-11D-2238-08	17	78	66	61	0	65
TCGA-86-8073-01A-11D-2238-08	27	0	1268	258	0	0
TCGA-86-8074-01A-11D-2238-08	7	0	0	64	0	0
TCGA-86-8075-01A-11D-2238-08	14	0	0	28	0	0
TCGA-86-8076-01A-31D-2238-08	8	9	17	22	0	11
TCGA-86-8279-01A-11D-2284-08	13	0	421	109	0	0
TCGA-86-8280-01A-11D-2284-08	1	0	0	37	10	0
TCGA-86-8281-01A-11D-2284-08	0	8	178	29	33	19
TCGA-86-8359-01A-11D-2323-08	14	0	124	32	0	0
TCGA-86-8585-01A-11D-2393-08	12	33	369	119	0	61
TCGA-86-8668-01A-11D-2393-08	9	0	0	22	0	0
TCGA-86-8671-01A-11D-2393-08	6	0	0	27	0	0
TCGA-86-8672-01A-21D-2393-08	16	22	196	69	0	12
TCGA-86-8673-01A-11D-2393-08	10	0	308	171	0	0
TCGA-86-8674-01A-21D-2393-08	5	25	241	33	0	0
TCGA-86-A456-01A-11D-A24D-08	8	0	259	97	0	0
TCGA-86-A4JF-01A-11D-A24P-08	25	0	361	493	443	0
TCGA-86-A4P7-01A-11D-A24P-08	6	8	0	29	0	17
TCGA-91-6828-01A-11D-1855-08	11	0	206	59	0	0
TCGA-91-6829-01A-21D-1855-08	6	0	415	243	0	0
TCGA-91-6830-01A-11D-1945-08	4	76	0	50	0	92
TCGA-91-6831-01A-11D-1855-08	2	0	162	113	0	0
TCGA-91-6835-01A-11D-1855-08	7	0	0	71	0	0
TCGA-91-6836-01A-21D-1855-08	14	0	348	108	0	0
TCGA-91-6840-01A-11D-1945-08	12	24	0	43	0	45
TCGA-91-6847-01A-11D-1945-08	22	0	0	52	0	0
TCGA-91-6848-01A-11D-1945-08	8	31	329	186	0	49
TCGA-91-6849-01A-11D-1945-08	6	0	71	40	0	0
TCGA-91-7771-01A-11D-2167-08	6	0	81	107	0	0
TCGA-91-A4BC-01A-11D-A24D-08	12	0	354	89	0	0
TCGA-91-A4BD-01A-11D-A24D-08	4	6	0	0	13	0
TCGA-93-7347-01A-11D-2184-08	3	0	80	39	0	0
TCGA-93-7348-01A-21D-2036-08	7	11	48	31	15	0
TCGA-93-8067-01A-11D-2284-08	25	215	0	115	0	197
TCGA-93-8067-01C-01D-A38P-08	8	117	0	64	0	97
TCGA-93-8067-01D-01D-A38P-08	5	83	0	42	0	59
TCGA-93-A4JO-01A-21D-A24P-08	0	0	0	37	0	13
TCGA-93-A4JP-01A-11D-A24P-08	5	14	18	13	0	5
TCGA-93-A4JP-01D-01D-A38P-08	25	16	32	26	0	17
TCGA-93-A4JP-01E-01D-A38P-08	15	14	34	24	0	17
TCGA-95-7039-01A-11D-1945-08	27	0	957	308	0	0
TCGA-95-7043-01A-11D-1945-08	42	0	911	184	0	0
TCGA-95-7562-01A-11D-2238-08	17	0	348	36	0	0
TCGA-95-7567-01A-11D-2063-08	4	0	346	353	236	0
TCGA-95-7944-01A-11D-2184-08	13	84	0	63	0	103
TCGA-95-7947-01A-11D-2184-08	15	105	183	191	0	83
TCGA-95-7948-01A-11D-2184-08	11	56	0	18	0	59
TCGA-95-8494-01A-11D-2323-08	11	38	0	13	23	27
TCGA-95-A4VK-01A-11D-A25L-08	18	0	196	60	0	0
TCGA-95-A4VN-01A-11D-A25L-08	7	0	364	111	0	0
TCGA-97-7547-01A-11D-2036-08	0	17	102	0	25	30
TCGA-97-7552-01A-11D-2036-08	10	0	0	21	0	0
TCGA-97-7553-01A-21D-2036-08	13	0	16	16	0	0
TCGA-97-7554-01A-11D-2036-08	12	0	311	128	0	0
TCGA-97-7938-01A-11D-2167-08	16	16	303	55	0	28
TCGA-97-8171-01A-11D-2284-08	17	0	0	38	0	0
TCGA-97-8174-01A-11D-2284-08	19	6	98	34	0	12
TCGA-97-8175-01A-11D-2284-08	1	0	0	29	0	0
TCGA-97-8177-01A-11D-2284-08	0	0	0	25	9	0
TCGA-97-8552-01A-11D-2393-08	1	0	0	14	8	0
TCGA-97-A4LX-01A-11D-A24P-08	1	0	135	51	0	0
TCGA-97-A4M0-01A-11D-A24P-08	4	30	263	72	0	37
TCGA-97-A4M1-01A-11D-A24P-08	15	7	0	15	0	6
TCGA-97-A4M3-01A-11D-A24P-08	9	16	153	27	0	13
TCGA-97-A4M6-01A-11D-A24P-08	0	0	0	23	10	0
TCGA-97-A4M7-01A-11D-A24P-08	7	0	262	47	0	0
TCGA-99-7458-01A-11D-2036-08	14	0	363	121	0	0
TCGA-99-8025-01A-11D-2238-08	0	74	278	0	81	81
TCGA-99-8028-01A-11D-2238-08	2	0	340	59	0	0
TCGA-99-8033-01A-11D-2238-08	11	0	99	68	0	0
TCGA-99-AA5R-01A-11D-A397-08	0	0	32	10	0	0
TCGA-J2-8192-01A-11D-2238-08	7	0	16	37	14	0
TCGA-J2-8194-01A-11D-2238-08	16	0	79	63	0	0
TCGA-J2-A4AD-01A-11D-A24D-08	14	48	101	98	0	84
TCGA-J2-A4AE-01A-21D-A24D-08	3	5	0	22	16	10
TCGA-J2-A4AG-01A-11D-A24D-08	7	0	42	32	0	0
TCGA-L4-A4E5-01A-11D-A24P-08	14	0	287	62	0	0
TCGA-L4-A4E6-01A-11D-A24D-08	0	0	5	0	0	3
TCGA-L9-A443-01A-12D-A24D-08	8	0	186	61	0	0
TCGA-L9-A50W-01A-12D-A397-08	3	10	0	20	0	0
TCGA-L9-A5IP-01A-21D-A397-08	6	0	229	67	0	0
TCGA-L9-A743-01A-43D-A397-08	3	21	54	21	0	22
TCGA-L9-A7SV-01A-11D-A397-08	36	0	1635	66	0	0
TCGA-L9-A8F4-01A-11D-A397-08	16	0	579	225	0	0
TCGA-MN-A4N1-01A-11D-A24P-08	26	0	342	104	0	0
TCGA-MN-A4N4-01A-12D-A24P-08	34	154	971	204	0	165
TCGA-MN-A4N5-01A-11D-A24P-08	10	25	347	79	0	15
TCGA-MP-A4SV-01A-11D-A24P-08	12	47	153	84	0	57
TCGA-MP-A4SW-01A-21D-A24P-08	21	7	15	20	0	4
TCGA-MP-A4T2-01A-11D-A24P-08	4	11	0	58	0	15
TCGA-MP-A4T4-01A-11D-A25L-08	11	0	290	100	0	0
TCGA-MP-A4T6-01A-32D-A25L-08	14	9	0	43	0	12
TCGA-MP-A4T7-01A-11D-A24P-08	13	0	108	20	0	0
TCGA-MP-A4T8-01A-11D-A24P-08	9	7	64	34	0	0
TCGA-MP-A4T9-01A-11D-A24P-08	2	0	0	33	0	0
TCGA-MP-A4TA-01A-21D-A24P-08	14	0	228	128	0	0
TCGA-MP-A4TC-01A-11D-A24P-08	6	16	195	54	0	0
TCGA-MP-A4TD-01A-32D-A25L-08	1	0	42	29	12	0
TCGA-MP-A4TE-01A-22D-A25L-08	18	0	76	25	25	0
TCGA-MP-A4TF-01A-11D-A25L-08	14	0	316	105	0	0
TCGA-MP-A4TH-01A-31D-A25L-08	8	0	54	51	0	0
TCGA-MP-A4TK-01A-11D-A24P-08	9	24	258	51	0	25
TCGA-NJ-A4YF-01A-12D-A25L-08	10	0	533	102	0	0
TCGA-NJ-A4YP-01A-11D-A25L-08	9	206	141	88	0	144
TCGA-NJ-A4YQ-01A-11D-A25L-08	15	0	911	218	0	0
TCGA-NJ-A55R-01A-11D-A25L-08	3	0	198	82	0	0
TCGA-NJ-A7XG-01A-12D-A397-08	12	0	10	11	0	0
TCGA-O1-A52J-01A-11D-A25L-08	0	0	131	36	21	0
TCGA-S2-AA1A-01A-12D-A397-08	4	0	102	22	0	0
